stt,buying,maint,doors,persons,lug_boot,safety,acceptability
1,vhigh,vhigh,2,2,small,low,-1
2,vhigh,vhigh,2,2,small,med,-1
3,vhigh,vhigh,2,2,small,high,-1
4,vhigh,vhigh,2,2,med,low,-1
5,vhigh,vhigh,2,2,med,med,-1
6,vhigh,vhigh,2,2,med,high,-1
7,vhigh,vhigh,2,2,big,low,-1
8,vhigh,vhigh,2,2,big,med,-1
9,vhigh,vhigh,2,2,big,high,-1
10,vhigh,vhigh,2,4,small,low,-1
11,vhigh,vhigh,2,4,small,med,-1
12,vhigh,vhigh,2,4,small,high,-1
13,vhigh,vhigh,2,4,med,low,-1
14,vhigh,vhigh,2,4,med,med,-1
15,vhigh,vhigh,2,4,med,high,-1
16,vhigh,vhigh,2,4,big,low,-1
17,vhigh,vhigh,2,4,big,med,-1
18,vhigh,vhigh,2,4,big,high,-1
19,vhigh,vhigh,2,more,small,low,-1
20,vhigh,vhigh,2,more,small,med,-1
21,vhigh,vhigh,2,more,small,high,-1
22,vhigh,vhigh,2,more,med,low,-1
23,vhigh,vhigh,2,more,med,med,-1
24,vhigh,vhigh,2,more,med,high,-1
25,vhigh,vhigh,2,more,big,low,-1
26,vhigh,vhigh,2,more,big,med,-1
27,vhigh,vhigh,2,more,big,high,-1
28,vhigh,vhigh,3,2,small,low,-1
29,vhigh,vhigh,3,2,small,med,-1
30,vhigh,vhigh,3,2,small,high,-1
31,vhigh,vhigh,3,2,med,low,-1
32,vhigh,vhigh,3,2,med,med,-1
33,vhigh,vhigh,3,2,med,high,-1
34,vhigh,vhigh,3,2,big,low,-1
35,vhigh,vhigh,3,2,big,med,-1
36,vhigh,vhigh,3,2,big,high,-1
37,vhigh,vhigh,3,4,small,low,-1
38,vhigh,vhigh,3,4,small,med,-1
39,vhigh,vhigh,3,4,small,high,-1
40,vhigh,vhigh,3,4,med,low,-1
41,vhigh,vhigh,3,4,med,med,-1
42,vhigh,vhigh,3,4,med,high,-1
43,vhigh,vhigh,3,4,big,low,-1
44,vhigh,vhigh,3,4,big,med,-1
45,vhigh,vhigh,3,4,big,high,-1
46,vhigh,vhigh,3,more,small,low,-1
47,vhigh,vhigh,3,more,small,med,-1
48,vhigh,vhigh,3,more,small,high,-1
49,vhigh,vhigh,3,more,med,low,-1
